Disease,Medicine,Usage,Symptoms,Precautions,SideEffects
Cough,Metformin,Take before sleep,Sneezing and cough,Consult doctor if problem continues,Sleepiness
Typhoid,Amlodipine,Use twice daily,Head pain and stress,Avoid cold drinks,Constipation
Skin Infection,Paracetamol,Take before meal,Vomiting and nausea,Do not overdose,Nausea
Migraine,Insulin,Take after meal,Burning sensation,Take proper rest,Constipation
Tooth Pain,Paracetamol,Use once daily,Stomach infection,Take proper rest,Sleepiness
Weakness,Calcium Tablets,Drink water with medicine,High temperature,Drink warm water,Nausea
Allergy,Amoxicillin,Take after meal,Stomach infection,Consult doctor if problem continues,Constipation
Allergy,Antibiotic Cream,Drink water with medicine,Breathing problem,Avoid spicy food,Sleepiness
Cold,Salbutamol Inhaler,Use once daily,Vomiting and nausea,Avoid spicy food,Fatigue
Skin Infection,Vitamin Tablets,Use once daily,High temperature,Consult doctor if problem continues,Dizziness
BP,Cough Syrup,Use once daily,Burning sensation,Avoid spicy food,Constipation
Eye Infection,Dolo 650,Drink water with medicine,Sneezing and cough,Take proper rest,Sleepiness
Ear Infection,Amoxicillin,Use once daily,Burning sensation,Avoid spicy food,Dry mouth
Cold,Amlodipine,Take after meal,Stomach infection,Avoid cold drinks,Dizziness
Typhoid,Vitamin Tablets,Take after meal,Body pain and weakness,Drink warm water,Dizziness
Weakness,Pantoprazole,Use twice daily,Burning sensation,Drink warm water,Dizziness
Allergy,Dolo 650,Take before sleep,Sneezing and cough,Avoid cold drinks,Dry mouth
Cough,ORS,Take before sleep,Sneezing and cough,Drink warm water,Constipation
Skin Infection,ORS,Use twice daily,Sneezing and cough,Do not overdose,Dry mouth
Eye Infection,Amlodipine,Take before meal,Sneezing and cough,Consult doctor if problem continues,Fatigue
Skin Infection,Omeprazole,Use twice daily,Breathing problem,Avoid spicy food,Fatigue
Allergy,Azithromycin,Take before sleep,Sneezing and cough,Avoid spicy food,Dizziness
Allergy,Vitamin Tablets,Take before sleep,Stomach infection,Avoid spicy food,Fatigue
Tooth Pain,Amoxicillin,Take before meal,Vomiting and nausea,Do not overdose,Dry mouth
Joint Pain,Salbutamol Inhaler,Use once daily,Body pain and weakness,Do not overdose,Nausea
Weakness,Omeprazole,Take after meal,Head pain and stress,Do not overdose,Nausea
Tooth Pain,Amoxicillin,Take after meal,High temperature,Avoid cold drinks,Dizziness
Typhoid,Crocin,Use once daily,Vomiting and nausea,Drink warm water,Constipation
Migraine,Cetirizine,Take before sleep,Sneezing and cough,Avoid cold drinks,Dizziness
Eye Infection,Omeprazole,Drink water with medicine,Vomiting and nausea,Consult doctor if problem continues,Nausea
Headache,Azithromycin,Take before sleep,Body pain and weakness,Avoid cold drinks,Sleepiness
Stomach Pain,Amlodipine,Use twice daily,Stomach infection,Take proper rest,Dizziness
Diabetes,Azithromycin,Use once daily,Vomiting and nausea,Avoid cold drinks,Nausea
Weakness,Paracetamol,Take before sleep,High temperature,Do not overdose,Dizziness
Asthma,Vitamin Tablets,Use twice daily,Head pain and stress,Avoid spicy food,Constipation
Stomach Pain,Antacid,Use twice daily,Head pain and stress,Avoid spicy food,Dry mouth
Ear Infection,Salbutamol Inhaler,Use twice daily,Stomach infection,Consult doctor if problem continues,Fatigue
Diabetes,Amoxicillin,Use once daily,Burning sensation,Do not overdose,Nausea
Joint Pain,Azithromycin,Take before meal,Head pain and stress,Do not overdose,Dizziness
Asthma,Crocin,Use once daily,Stomach infection,Consult doctor if problem continues,Constipation
BP,Pantoprazole,Drink water with medicine,Body pain and weakness,Do not overdose,Nausea
Fever,Metformin,Use once daily,Breathing problem,Drink warm water,Fatigue
Allergy,Vitamin Tablets,Take before meal,Body pain and weakness,Avoid cold drinks,Constipation
Joint Pain,Antibiotic Cream,Take after meal,Breathing problem,Consult doctor if problem continues,Dizziness
Tooth Pain,ORS,Take before meal,Breathing problem,Avoid cold drinks,Fatigue
Tooth Pain,Salbutamol Inhaler,Use twice daily,Vomiting and nausea,Do not overdose,Constipation
Stomach Pain,ORS,Use twice daily,Vomiting and nausea,Do not overdose,Dizziness
Stomach Pain,Antibiotic Cream,Take after meal,Vomiting and nausea,Avoid cold drinks,Constipation
Asthma,Cetirizine,Use once daily,Vomiting and nausea,Do not overdose,Dizziness
Tooth Pain,Salbutamol Inhaler,Take after meal,Breathing problem,Take proper rest,Constipation
Typhoid,Paracetamol,Use once daily,Vomiting and nausea,Consult doctor if problem continues,Dry mouth
Ear Infection,Calcium Tablets,Take before sleep,Breathing problem,Consult doctor if problem continues,Constipation
Typhoid,Pantoprazole,Take after meal,Vomiting and nausea,Do not overdose,Fatigue
Typhoid,Antacid,Use once daily,Breathing problem,Do not overdose,Fatigue
Fever,Pantoprazole,Use twice daily,Vomiting and nausea,Take proper rest,Dizziness
Fever,Antibiotic Cream,Drink water with medicine,Sneezing and cough,Do not overdose,Nausea
Headache,ORS,Take before sleep,Body pain and weakness,Do not overdose,Dizziness
Stomach Pain,Omeprazole,Take before sleep,Sneezing and cough,Avoid spicy food,Sleepiness
Joint Pain,Metformin,Take before sleep,Body pain and weakness,Consult doctor if problem continues,Nausea
Joint Pain,Vitamin Tablets,Take before meal,Burning sensation,Take proper rest,Dry mouth
Diabetes,Calcium Tablets,Take before meal,Stomach infection,Avoid spicy food,Sleepiness
Diabetes,Calcium Tablets,Use twice daily,Body pain and weakness,Take proper rest,Fatigue
Cold,Pain Relief Gel,Use once daily,Stomach infection,Take proper rest,Constipation
Cough,Paracetamol,Use twice daily,Vomiting and nausea,Drink warm water,Sleepiness
Asthma,Salbutamol Inhaler,Take before sleep,Vomiting and nausea,Take proper rest,Fatigue
Typhoid,Amoxicillin,Use twice daily,High temperature,Avoid spicy food,Constipation
Ear Infection,Ibuprofen,Use once daily,Head pain and stress,Avoid spicy food,Dry mouth
Fever,Amlodipine,Take before meal,Breathing problem,Take proper rest,Sleepiness
Tooth Pain,Cough Syrup,Take after meal,Stomach infection,Drink warm water,Dry mouth
Acidity,Ibuprofen,Take after meal,Head pain and stress,Drink warm water,Dizziness
Cough,Crocin,Drink water with medicine,Head pain and stress,Drink warm water,Constipation
Stomach Pain,Amlodipine,Use once daily,Vomiting and nausea,Drink warm water,Sleepiness
Acidity,Metformin,Take after meal,Body pain and weakness,Consult doctor if problem continues,Fatigue
Typhoid,Insulin,Take after meal,Burning sensation,Do not overdose,Constipation
Headache,Azithromycin,Take before meal,Burning sensation,Drink warm water,Sleepiness
Joint Pain,Metformin,Take before sleep,Vomiting and nausea,Consult doctor if problem continues,Constipation
Cough,Insulin,Take before meal,Burning sensation,Avoid cold drinks,Dizziness
Diarrhea,Calcium Tablets,Use once daily,Head pain and stress,Consult doctor if problem continues,Dizziness
Tooth Pain,Ibuprofen,Use twice daily,Vomiting and nausea,Avoid spicy food,Constipation
Headache,Metformin,Take before meal,High temperature,Do not overdose,Dizziness
Diarrhea,Pain Relief Gel,Drink water with medicine,Body pain and weakness,Avoid spicy food,Sleepiness
Diarrhea,Antibiotic Cream,Take after meal,Vomiting and nausea,Avoid cold drinks,Dizziness
Ear Infection,Insulin,Drink water with medicine,Breathing problem,Consult doctor if problem continues,Nausea
Fever,Amoxicillin,Take before meal,Vomiting and nausea,Drink warm water,Nausea
Fever,Antacid,Take after meal,Stomach infection,Consult doctor if problem continues,Sleepiness
Vomiting,Amlodipine,Use once daily,Sneezing and cough,Take proper rest,Constipation
Stomach Pain,Cough Syrup,Take before sleep,Body pain and weakness,Drink warm water,Dry mouth
Acidity,Vitamin Tablets,Use twice daily,High temperature,Take proper rest,Nausea
Weakness,Ibuprofen,Take before meal,High temperature,Do not overdose,Dry mouth
Acidity,Azithromycin,Take before sleep,Breathing problem,Consult doctor if problem continues,Sleepiness
Weakness,Ibuprofen,Take after meal,Breathing problem,Drink warm water,Dry mouth
Stomach Pain,Ibuprofen,Take before sleep,Body pain and weakness,Consult doctor if problem continues,Dizziness
Ear Infection,Crocin,Take before meal,Body pain and weakness,Avoid cold drinks,Sleepiness
Joint Pain,Metformin,Use twice daily,Burning sensation,Avoid cold drinks,Nausea
Allergy,Antacid,Take before sleep,Sneezing and cough,Avoid cold drinks,Fatigue
Joint Pain,Cough Syrup,Use twice daily,Body pain and weakness,Take proper rest,Dry mouth
Vomiting,Cough Syrup,Take before sleep,Burning sensation,Do not overdose,Sleepiness
Migraine,Antacid,Take before sleep,Sneezing and cough,Avoid cold drinks,Nausea
Fever,Paracetamol,Use twice daily,Breathing problem,Avoid spicy food,Dizziness
Migraine,Dolo 650,Take after meal,Head pain and stress,Avoid cold drinks,Sleepiness
Eye Infection,Cough Syrup,Take before meal,Body pain and weakness,Avoid spicy food,Sleepiness
Ear Infection,Salbutamol Inhaler,Use once daily,Head pain and stress,Drink warm water,Dizziness
Skin Infection,Vitamin Tablets,Take after meal,High temperature,Avoid cold drinks,Dizziness
Cold,ORS,Drink water with medicine,Head pain and stress,Do not overdose,Nausea
Acidity,Salbutamol Inhaler,Use twice daily,High temperature,Take proper rest,Constipation
Allergy,Antacid,Take before meal,Vomiting and nausea,Avoid cold drinks,Fatigue
Fever,Pain Relief Gel,Take before sleep,Body pain and weakness,Take proper rest,Sleepiness
Allergy,Amoxicillin,Take after meal,Breathing problem,Drink warm water,Dry mouth
Weakness,Vitamin Tablets,Use twice daily,Sneezing and cough,Drink warm water,Nausea
Skin Infection,Cetirizine,Use twice daily,High temperature,Avoid spicy food,Dry mouth
Ear Infection,Azithromycin,Take before meal,Stomach infection,Avoid cold drinks,Dizziness
Typhoid,Pantoprazole,Use twice daily,Breathing problem,Avoid spicy food,Nausea
Asthma,Antibiotic Cream,Use once daily,Stomach infection,Drink warm water,Dizziness
Cold,Cetirizine,Use once daily,High temperature,Drink warm water,Nausea
Ear Infection,Vitamin Tablets,Take after meal,Sneezing and cough,Avoid cold drinks,Nausea
Eye Infection,Amlodipine,Take before sleep,High temperature,Take proper rest,Sleepiness
Diarrhea,Paracetamol,Take after meal,Body pain and weakness,Avoid spicy food,Constipation
Diabetes,Omeprazole,Take before sleep,Body pain and weakness,Avoid cold drinks,Dizziness
Acidity,Cetirizine,Take after meal,Breathing problem,Consult doctor if problem continues,Sleepiness
Acidity,Salbutamol Inhaler,Take after meal,Sneezing and cough,Do not overdose,Nausea
Fever,Vitamin Tablets,Take before sleep,Vomiting and nausea,Do not overdose,Dizziness
Diabetes,Antibiotic Cream,Drink water with medicine,Body pain and weakness,Do not overdose,Dry mouth
Allergy,Metformin,Use once daily,Head pain and stress,Avoid cold drinks,Fatigue
Tooth Pain,Omeprazole,Take before meal,Vomiting and nausea,Consult doctor if problem continues,Nausea
Migraine,Vitamin Tablets,Use once daily,Vomiting and nausea,Consult doctor if problem continues,Sleepiness
Diabetes,Dolo 650,Drink water with medicine,Burning sensation,Consult doctor if problem continues,Nausea
Tooth Pain,Vitamin Tablets,Take after meal,Sneezing and cough,Do not overdose,Nausea
Migraine,Ibuprofen,Take after meal,Burning sensation,Do not overdose,Constipation
Cough,Salbutamol Inhaler,Use twice daily,Body pain and weakness,Avoid cold drinks,Dizziness
Diarrhea,Omeprazole,Drink water with medicine,Breathing problem,Avoid spicy food,Dizziness
Typhoid,Insulin,Drink water with medicine,Stomach infection,Avoid spicy food,Dizziness
Cough,Paracetamol,Take before sleep,Body pain and weakness,Avoid cold drinks,Dry mouth
Typhoid,Calcium Tablets,Drink water with medicine,Vomiting and nausea,Avoid cold drinks,Dizziness
Asthma,Azithromycin,Take before sleep,Stomach infection,Drink warm water,Dizziness
Ear Infection,Insulin,Take after meal,Breathing problem,Consult doctor if problem continues,Sleepiness
Diarrhea,Paracetamol,Use twice daily,High temperature,Avoid spicy food,Dry mouth
Cough,Metformin,Drink water with medicine,Burning sensation,Avoid cold drinks,Dizziness
Weakness,Cough Syrup,Take before sleep,Burning sensation,Avoid spicy food,Dizziness
Headache,Vitamin Tablets,Drink water with medicine,High temperature,Avoid cold drinks,Nausea
Weakness,ORS,Take before sleep,Body pain and weakness,Do not overdose,Nausea
Vomiting,Pantoprazole,Drink water with medicine,Stomach infection,Drink warm water,Dizziness
Asthma,Cetirizine,Take after meal,Burning sensation,Drink warm water,Dry mouth
Cold,Azithromycin,Take after meal,Breathing problem,Drink warm water,Dizziness
BP,Azithromycin,Take after meal,Vomiting and nausea,Do not overdose,Sleepiness
Weakness,Omeprazole,Use twice daily,Sneezing and cough,Avoid cold drinks,Fatigue
BP,Antacid,Use twice daily,Breathing problem,Do not overdose,Dizziness
Stomach Pain,Insulin,Use once daily,Head pain and stress,Avoid cold drinks,Sleepiness
Cold,Salbutamol Inhaler,Use once daily,Body pain and weakness,Do not overdose,Dry mouth
Cough,Insulin,Drink water with medicine,High temperature,Take proper rest,Dizziness
Skin Infection,Antacid,Use once daily,Breathing problem,Do not overdose,Fatigue
Weakness,Ibuprofen,Drink water with medicine,Stomach infection,Consult doctor if problem continues,Sleepiness
Cold,Salbutamol Inhaler,Drink water with medicine,Breathing problem,Avoid cold drinks,Dizziness
Joint Pain,Pain Relief Gel,Use once daily,Breathing problem,Do not overdose,Dry mouth
Typhoid,Vitamin Tablets,Take after meal,Head pain and stress,Take proper rest,Dizziness
Weakness,Amoxicillin,Take before meal,Body pain and weakness,Take proper rest,Nausea
Diabetes,Azithromycin,Take before meal,Sneezing and cough,Do not overdose,Constipation
Allergy,Crocin,Use once daily,High temperature,Consult doctor if problem continues,Dry mouth
Skin Infection,Ibuprofen,Take before meal,High temperature,Avoid cold drinks,Fatigue
Eye Infection,Omeprazole,Take before sleep,Vomiting and nausea,Drink warm water,Fatigue
Ear Infection,Crocin,Drink water with medicine,Stomach infection,Do not overdose,Dry mouth
Migraine,Cetirizine,Use twice daily,High temperature,Drink warm water,Nausea
Headache,Antibiotic Cream,Take before meal,Body pain and weakness,Consult doctor if problem continues,Dry mouth
Cough,Dolo 650,Take before sleep,Sneezing and cough,Drink warm water,Nausea
Cough,Pantoprazole,Take before sleep,Body pain and weakness,Avoid cold drinks,Nausea
Weakness,Calcium Tablets,Drink water with medicine,Burning sensation,Do not overdose,Fatigue
Ear Infection,ORS,Use twice daily,Sneezing and cough,Do not overdose,Sleepiness
Fever,Azithromycin,Use once daily,Burning sensation,Avoid cold drinks,Dry mouth
Eye Infection,Amoxicillin,Take before sleep,Body pain and weakness,Avoid cold drinks,Dizziness
BP,Pain Relief Gel,Use twice daily,Stomach infection,Take proper rest,Dry mouth
Headache,Cetirizine,Use twice daily,Burning sensation,Do not overdose,Dry mouth
Cough,Amoxicillin,Use twice daily,Vomiting and nausea,Take proper rest,Dizziness
Stomach Pain,Dolo 650,Drink water with medicine,Burning sensation,Take proper rest,Dry mouth
Weakness,Amoxicillin,Take after meal,Stomach infection,Take proper rest,Dry mouth
Ear Infection,Salbutamol Inhaler,Drink water with medicine,Burning sensation,Avoid cold drinks,Fatigue
Eye Infection,Pantoprazole,Drink water with medicine,Body pain and weakness,Consult doctor if problem continues,Dizziness
Diabetes,Antacid,Take after meal,Sneezing and cough,Consult doctor if problem continues,Nausea
Ear Infection,Azithromycin,Take before meal,Head pain and stress,Avoid cold drinks,Sleepiness
Diarrhea,Cough Syrup,Take after meal,Body pain and weakness,Avoid spicy food,Sleepiness
Fever,Antacid,Take before meal,Stomach infection,Avoid cold drinks,Sleepiness
Diarrhea,Cough Syrup,Use once daily,High temperature,Avoid spicy food,Nausea
Fever,Insulin,Take before meal,Breathing problem,Avoid spicy food,Dry mouth
Acidity,Paracetamol,Take before sleep,High temperature,Consult doctor if problem continues,Dry mouth
Diarrhea,Metformin,Use twice daily,Sneezing and cough,Avoid spicy food,Dry mouth
BP,Amlodipine,Drink water with medicine,Breathing problem,Do not overdose,Sleepiness
Typhoid,Pantoprazole,Use twice daily,Burning sensation,Drink warm water,Constipation
Fever,Amlodipine,Use once daily,Burning sensation,Drink warm water,Nausea
Stomach Pain,Pantoprazole,Use twice daily,Burning sensation,Avoid spicy food,Constipation
Asthma,Amoxicillin,Use twice daily,Stomach infection,Avoid spicy food,Fatigue
Weakness,Pain Relief Gel,Take before sleep,Body pain and weakness,Drink warm water,Sleepiness
Allergy,Azithromycin,Take before sleep,Burning sensation,Avoid spicy food,Dry mouth
Asthma,Cough Syrup,Take before meal,Vomiting and nausea,Consult doctor if problem continues,Constipation
Ear Infection,Amoxicillin,Take before meal,Vomiting and nausea,Avoid cold drinks,Dry mouth
Headache,ORS,Drink water with medicine,Stomach infection,Do not overdose,Dry mouth
Diarrhea,Amoxicillin,Use once daily,Vomiting and nausea,Take proper rest,Dizziness
Stomach Pain,Ibuprofen,Take before sleep,Breathing problem,Consult doctor if problem continues,Dizziness
Stomach Pain,Antibiotic Cream,Drink water with medicine,Head pain and stress,Avoid spicy food,Constipation
Diabetes,Amlodipine,Use twice daily,Breathing problem,Avoid spicy food,Fatigue
Migraine,Antacid,Take before meal,Sneezing and cough,Avoid cold drinks,Dizziness
Headache,Paracetamol,Use twice daily,Head pain and stress,Do not overdose,Dry mouth
Eye Infection,Antibiotic Cream,Take after meal,High temperature,Drink warm water,Constipation
Allergy,ORS,Take before meal,Head pain and stress,Do not overdose,Constipation
Asthma,Pantoprazole,Take before sleep,High temperature,Drink warm water,Constipation
Eye Infection,Cetirizine,Use twice daily,High temperature,Consult doctor if problem continues,Dizziness
BP,Salbutamol Inhaler,Use twice daily,Vomiting and nausea,Do not overdose,Nausea
Diarrhea,Azithromycin,Take after meal,High temperature,Take proper rest,Dizziness
Weakness,Ibuprofen,Take after meal,Sneezing and cough,Avoid cold drinks,Fatigue
Headache,Pantoprazole,Use once daily,Breathing problem,Consult doctor if problem continues,Dizziness
Headache,Amoxicillin,Use once daily,Sneezing and cough,Take proper rest,Nausea
Fever,Amoxicillin,Drink water with medicine,Head pain and stress,Do not overdose,Nausea
Migraine,Pain Relief Gel,Take before meal,Stomach infection,Avoid cold drinks,Fatigue
Headache,Salbutamol Inhaler,Drink water with medicine,High temperature,Drink warm water,Fatigue
Skin Infection,Dolo 650,Take after meal,Sneezing and cough,Avoid spicy food,Constipation
Asthma,Pain Relief Gel,Take after meal,High temperature,Avoid cold drinks,Nausea
BP,Vitamin Tablets,Drink water with medicine,Vomiting and nausea,Drink warm water,Sleepiness
Tooth Pain,Omeprazole,Use once daily,Body pain and weakness,Avoid cold drinks,Dizziness
Joint Pain,Cough Syrup,Take after meal,Head pain and stress,Do not overdose,Dry mouth
Cold,Amlodipine,Use twice daily,Body pain and weakness,Do not overdose,Dry mouth
Skin Infection,Paracetamol,Use once daily,Vomiting and nausea,Take proper rest,Sleepiness
Fever,Omeprazole,Use twice daily,Breathing problem,Avoid spicy food,Fatigue
Ear Infection,Azithromycin,Take after meal,High temperature,Do not overdose,Dry mouth
Diabetes,Calcium Tablets,Use once daily,High temperature,Consult doctor if problem continues,Dry mouth
Headache,Vitamin Tablets,Use twice daily,High temperature,Consult doctor if problem continues,Dizziness
Vomiting,Calcium Tablets,Take after meal,Head pain and stress,Avoid spicy food,Dry mouth
Headache,Cough Syrup,Drink water with medicine,Sneezing and cough,Avoid cold drinks,Constipation
Joint Pain,Metformin,Take after meal,Burning sensation,Avoid spicy food,Dizziness
Asthma,Omeprazole,Take before sleep,Body pain and weakness,Consult doctor if problem continues,Dizziness
BP,Insulin,Use twice daily,Breathing problem,Avoid spicy food,Dizziness
Fever,ORS,Take before sleep,Breathing problem,Avoid cold drinks,Sleepiness
Migraine,Ibuprofen,Use twice daily,Stomach infection,Do not overdose,Nausea
Cold,ORS,Take before meal,Body pain and weakness,Avoid cold drinks,Nausea
Typhoid,Crocin,Take before sleep,High temperature,Drink warm water,Sleepiness
Tooth Pain,Insulin,Use once daily,Stomach infection,Take proper rest,Nausea
BP,Vitamin Tablets,Use once daily,Head pain and stress,Drink warm water,Dizziness
Eye Infection,Calcium Tablets,Take before sleep,Breathing problem,Avoid spicy food,Nausea
Migraine,ORS,Take after meal,Sneezing and cough,Do not overdose,Constipation
Eye Infection,Amoxicillin,Use twice daily,Stomach infection,Avoid cold drinks,Fatigue
Vomiting,Metformin,Use once daily,Breathing problem,Avoid spicy food,Dizziness
Acidity,Vitamin Tablets,Use twice daily,Body pain and weakness,Take proper rest,Constipation
Headache,Insulin,Take after meal,Body pain and weakness,Drink warm water,Dizziness
Allergy,Amoxicillin,Take before sleep,High temperature,Consult doctor if problem continues,Fatigue
Acidity,Omeprazole,Use twice daily,Breathing problem,Take proper rest,Constipation
BP,Cough Syrup,Take before meal,Breathing problem,Avoid spicy food,Constipation
Cold,Azithromycin,Use once daily,Head pain and stress,Avoid spicy food,Nausea
Joint Pain,Ibuprofen,Take before sleep,Burning sensation,Drink warm water,Sleepiness
Joint Pain,Amlodipine,Use twice daily,Breathing problem,Avoid cold drinks,Nausea
Weakness,Antibiotic Cream,Drink water with medicine,Body pain and weakness,Avoid cold drinks,Dry mouth
Skin Infection,Ibuprofen,Take after meal,Burning sensation,Take proper rest,Dizziness
Stomach Pain,Antibiotic Cream,Use once daily,Stomach infection,Drink warm water,Sleepiness
Diarrhea,Amoxicillin,Use twice daily,Burning sensation,Drink warm water,Fatigue
Diarrhea,Vitamin Tablets,Take before sleep,Breathing problem,Avoid cold drinks,Dizziness
Fever,Ibuprofen,Take before meal,Breathing problem,Consult doctor if problem continues,Fatigue
Skin Infection,Pain Relief Gel,Use twice daily,Stomach infection,Drink warm water,Constipation
Skin Infection,Azithromycin,Take before sleep,Body pain and weakness,Avoid cold drinks,Constipation
Tooth Pain,Amoxicillin,Drink water with medicine,Head pain and stress,Avoid spicy food,Fatigue
Fever,Crocin,Use twice daily,Stomach infection,Avoid cold drinks,Constipation
Migraine,Antibiotic Cream,Take before sleep,Head pain and stress,Do not overdose,Sleepiness
Diarrhea,Paracetamol,Use twice daily,Head pain and stress,Drink warm water,Dry mouth
Acidity,Paracetamol,Use twice daily,Sneezing and cough,Avoid spicy food,Sleepiness
Cough,Azithromycin,Use twice daily,High temperature,Avoid spicy food,Sleepiness
Eye Infection,Paracetamol,Use twice daily,Vomiting and nausea,Do not overdose,Nausea
Acidity,Salbutamol Inhaler,Take before sleep,Head pain and stress,Avoid cold drinks,Constipation
Diarrhea,Omeprazole,Take before meal,Burning sensation,Drink warm water,Sleepiness
Headache,Cough Syrup,Use once daily,Sneezing and cough,Do not overdose,Sleepiness
Stomach Pain,Dolo 650,Take before sleep,Head pain and stress,Avoid spicy food,Dizziness
BP,Omeprazole,Take before meal,Body pain and weakness,Avoid cold drinks,Sleepiness
Eye Infection,Metformin,Take after meal,Breathing problem,Drink warm water,Sleepiness
Migraine,Antibiotic Cream,Take after meal,Vomiting and nausea,Consult doctor if problem continues,Dizziness
Fever,Antacid,Take after meal,Stomach infection,Avoid cold drinks,Constipation
Vomiting,Salbutamol Inhaler,Take after meal,Vomiting and nausea,Drink warm water,Dry mouth
Joint Pain,Calcium Tablets,Take before sleep,Burning sensation,Consult doctor if problem continues,Sleepiness
Fever,Azithromycin,Drink water with medicine,Sneezing and cough,Avoid cold drinks,Dizziness
Allergy,Pain Relief Gel,Use twice daily,Vomiting and nausea,Avoid cold drinks,Sleepiness
Ear Infection,Metformin,Take after meal,High temperature,Do not overdose,Fatigue
Fever,Crocin,Use twice daily,Vomiting and nausea,Avoid cold drinks,Dizziness
Headache,Amlodipine,Use once daily,Head pain and stress,Do not overdose,Nausea
Headache,Azithromycin,Use once daily,Head pain and stress,Avoid spicy food,Sleepiness
Diabetes,Insulin,Use twice daily,Breathing problem,Do not overdose,Constipation
Cold,Azithromycin,Drink water with medicine,Stomach infection,Do not overdose,Nausea
Tooth Pain,Pantoprazole,Use once daily,Body pain and weakness,Avoid spicy food,Fatigue
Stomach Pain,Cetirizine,Take before sleep,Sneezing and cough,Drink warm water,Constipation
Cough,Dolo 650,Drink water with medicine,Body pain and weakness,Do not overdose,Nausea
Cold,Crocin,Use twice daily,Vomiting and nausea,Consult doctor if problem continues,Constipation
Ear Infection,Antacid,Take before sleep,Body pain and weakness,Do not overdose,Sleepiness
Eye Infection,Pantoprazole,Take before meal,Stomach infection,Take proper rest,Sleepiness
Allergy,Paracetamol,Take before sleep,High temperature,Avoid cold drinks,Sleepiness
Fever,ORS,Take before meal,High temperature,Do not overdose,Constipation
Joint Pain,Amoxicillin,Drink water with medicine,Head pain and stress,Drink warm water,Fatigue
Fever,Azithromycin,Take before sleep,Head pain and stress,Avoid spicy food,Dizziness
Joint Pain,Crocin,Take before sleep,Breathing problem,Consult doctor if problem continues,Fatigue
Skin Infection,Amlodipine,Take before meal,Body pain and weakness,Avoid cold drinks,Dizziness
Cold,Omeprazole,Use twice daily,Body pain and weakness,Avoid spicy food,Nausea
Asthma,Vitamin Tablets,Take after meal,Body pain and weakness,Do not overdose,Dizziness
Skin Infection,Amoxicillin,Use twice daily,Head pain and stress,Avoid cold drinks,Constipation
Joint Pain,Cough Syrup,Drink water with medicine,Stomach infection,Avoid cold drinks,Nausea
Cold,Crocin,Take before meal,Head pain and stress,Avoid spicy food,Dry mouth
Stomach Pain,Metformin,Use twice daily,Breathing problem,Consult doctor if problem continues,Fatigue
Fever,Vitamin Tablets,Use once daily,Stomach infection,Drink warm water,Sleepiness
Diabetes,Pain Relief Gel,Take before meal,Stomach infection,Do not overdose,Fatigue
Diabetes,Metformin,Use twice daily,Burning sensation,Drink warm water,Fatigue
Joint Pain,Salbutamol Inhaler,Take after meal,Sneezing and cough,Avoid cold drinks,Constipation
Eye Infection,Amlodipine,Take before meal,Breathing problem,Consult doctor if problem continues,Dry mouth
Skin Infection,Pain Relief Gel,Take before sleep,Body pain and weakness,Take proper rest,Dry mouth
Weakness,Dolo 650,Take before sleep,Stomach infection,Take proper rest,Fatigue
Joint Pain,Cough Syrup,Take before meal,Stomach infection,Avoid cold drinks,Constipation
Ear Infection,Vitamin Tablets,Take before meal,Head pain and stress,Avoid spicy food,Fatigue
Asthma,Paracetamol,Take after meal,High temperature,Take proper rest,Dizziness
Acidity,ORS,Take before sleep,Body pain and weakness,Drink warm water,Constipation
Cold,Azithromycin,Drink water with medicine,Vomiting and nausea,Take proper rest,Dry mouth
Weakness,Salbutamol Inhaler,Take before sleep,Burning sensation,Avoid cold drinks,Dry mouth
Acidity,Salbutamol Inhaler,Take before meal,Stomach infection,Consult doctor if problem continues,Fatigue
Stomach Pain,Salbutamol Inhaler,Take before sleep,Sneezing and cough,Drink warm water,Sleepiness
Weakness,Omeprazole,Drink water with medicine,Stomach infection,Take proper rest,Fatigue
Allergy,Dolo 650,Use twice daily,Burning sensation,Avoid cold drinks,Fatigue
Weakness,Vitamin Tablets,Take before sleep,Vomiting and nausea,Consult doctor if problem continues,Nausea
Diarrhea,Crocin,Take before meal,High temperature,Do not overdose,Dizziness
Ear Infection,Cetirizine,Take before sleep,Burning sensation,Consult doctor if problem continues,Sleepiness
Acidity,Antibiotic Cream,Take before sleep,Body pain and weakness,Avoid spicy food,Fatigue
Diabetes,Dolo 650,Take before meal,Vomiting and nausea,Do not overdose,Fatigue
Allergy,Amoxicillin,Take before sleep,Breathing problem,Avoid cold drinks,Constipation
Vomiting,Insulin,Take before meal,Sneezing and cough,Avoid spicy food,Constipation
Stomach Pain,Pantoprazole,Take before sleep,Breathing problem,Do not overdose,Dry mouth
Cold,Salbutamol Inhaler,Take before sleep,Vomiting and nausea,Avoid cold drinks,Sleepiness
Diabetes,Antibiotic Cream,Take before meal,Vomiting and nausea,Do not overdose,Constipation
Migraine,Omeprazole,Take after meal,Sneezing and cough,Take proper rest,Dizziness
Typhoid,Ibuprofen,Take before sleep,Head pain and stress,Take proper rest,Constipation
Tooth Pain,ORS,Take after meal,Sneezing and cough,Take proper rest,Dry mouth
Diabetes,Calcium Tablets,Use twice daily,Vomiting and nausea,Take proper rest,Nausea
Vomiting,Metformin,Use once daily,Body pain and weakness,Drink warm water,Dry mouth
